MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,DIRECTOR,VOTES,RunTime,Gross
Circus of Books,2019,"
Documentary, Biography, History            ",7.1,"In 1976, Karen and Barry Mason had fallen on hard times and were looking for a way to support their young family when they answered an ad in the Los Angeles Times. Larry Flynt was seeking ...                
","
Karen Mason, 
Barry Mason, 
Micah Mason, 
Rachel Mason
","
Rachel Mason",4043,92,Not specified
Deuces,2016,"
Action, Crime, Drama            ",5.9,An undercover agent infiltrates a crime ring run by a charismatic boss.,"
Larenz Tate, 
Meagan Good, 
Rotimi, 
Rick Gonzalez
","
Jamal Hill",940,87,Not specified
James Acaster,2018,"
Comedy            ",8.5,James Acaster presents four interwoven stand-up comedy specials.,"
James Acaster, 
Pat Cahill, 
Stuart Laws, 
Nathaniel Metcalfe
",Not specified,2950,205,Not specified
Superlpez,2018,"
Action, Comedy, Sci-Fi            ",5.4,"Juan Lpez, an ordinary and anonymous office worker, decides to expose his superpowers to turn into the first Spanish superhero: Superlpez.","
Dani Rovira, 
Alexandra Jimnez, 
Julin Lpez, 
Maribel Verd
","
Javier Ruiz Caldera",3326,108,Not specified
Virunga,2014,"
Documentary, War            ",8.2,A team of brave individuals risk their lives to protect the last mountain gorillas.,"
Andr Bauma, 
Emmanuel de Merode, 
Mlanie Gouby, 
Rodrigue Mugaruka Katembo
","
Orlando von Einsiedel",10789,100,Not specified
The Mudge Boy,2003,"
Crime, Drama, Romance            ",7.1,"The film follows the story of Duncan, a fourteen-year-old misfit farm boy trying to fill the void and alleviate the numbness left by his mother's passing. Unable to let her go quite yet, ...                
","
Emile Hirsch, 
Richard Jenkins, 
Tom Guiry, 
Pablo Schreiber
","
Michael Burke",4347,94,Not specified
Geunyeoneun Geojitmaleul Neomoo Saranghae,2017,"
Music, Romance            ",6.9,"Lee Hyun Woo (Moorim School, The Technicians) and Joy (from K-pop group Red Velvet) star in an adaptation of the runaway hit Japanese manga. When a genius composer with a hidden identity ...                
","
Hyun-Woo Lee, 
Soo-Young Park, 
Lee Jung-Jin, 
Seo-won Lee
",Not specified,691,Not specified,Not specified
Mysterious Island,2010,"
Adventure, Fantasy, Horror            ",3.5,"March 1865. A group of Union soldiers escape from Confederate hands in a balloon, accompanied by their former Confederate captor. The balloon crashes on a sinister island where they encounter all manner of oddities and dangers.","
Gina Holden, 
Lochlyn Munro, 
Pruitt Taylor Vince, 
Susie Abromeit
","
Mark Sheppard",1025,91,Not specified
Siffredi Late Night  Hard Academy,2016,"
Documentary            ",5.9,Pornstar veteran Rocco Siffredi shares his experience about porn industry in his Porn Academy in Budapest.,"
Rocco Siffredi, 
Alessandro Concas
",Not specified,86,25,Not specified
Dinotrux,2015-2017,"
Animation, Short, Action            ",6.9,"Animals like the Craneosauraus, Garbageadon and Tyrannosaurus Trux (part dinosaurs and part truck) exist in a fictional prehistoric era.","
Andrew Francis, 
Richard Ian Cox, 
Ashleigh Ball, 
Brian Drummond
",Not specified,417,Not specified,Not specified
Goedam,2020,"
Short, Horror, Mystery            ",5.8,"When night falls on the city, shadows and spirits come alive in this horror anthology series centered on urban legends.","
Song Chae-Yoon, 
Ga-rim Han, 
Seola
",Not specified,694,10,Not specified
BigBug,Not specified,"
Adventure, Comedy, Fantasy            ",Not specified,A group of bickering suburbanites find themselves stuck together when an android uprising causes their well intentioned household robots to lock them in for their own safety.,"
Dominique Pinon, 
Elsa Zylberstein, 
Alban Lenoir, 
Andr Dussollier
","
Jean-Pierre Jeunet",Not specified,Not specified,Not specified
It's Bruno,2019,"
Comedy            ",7.5,"An old-school Brooklyn native devotes his days to caring for his adorable dog, Bruno, and making sure the neighbors show his pooch the proper respect.","
Solvan Naim, 
Bruno, 
Sam Eliad, 
Donnell Rawlings
",Not specified,2662,15,Not specified
Criminal,2019,"
Crime, Drama, Mystery            ",6.9,"Psychological games abound between detectives and suspects in a tense interrogation room, where the search for answers sometimes comes at a moral cost.","
Emma Surez, 
Jorge Bosch, 
lvaro Cervantes, 
Mara Morales
",Not specified,3675,40,Not specified
Wedding Season,Not specified,"
Comedy, Romance            ",Not specified,"In a bid to keep her marriage-obsessed parents off her back, an Indian-American woman gets a fake boyfriend for wedding season-but in the end, gets the courage to stop living a double life. This romantic comedy was just set up at Netflix.","
Rizwan Manji, 
Ruth Goodwin, 
Pallavi Sharda, 
Suraj Sharma
","
Tom Dey",Not specified,Not specified,Not specified
Bread Barbershop,2020,"
Animation            ",8.6,"In a town filled with food, Bread is a master cake decorator who gives life-changing makeovers that will put any customer in an amazing mood.","
Marc Thompson, 
Elinor Vanderburg, 
Barrett Leddy, 
Courtney Shaw
",Not specified,83,Not specified,Not specified
The 39 Steps,Not specified,"
Drama, Thriller            ",Not specified,"Follows an ordinary man, who becomes an unwitting pawn in a vast, global conspiracy to reset the world order.","
Benedict Cumberbatch
",Not specified,Not specified,Not specified,Not specified
Dirty John,2019,"
Documentary, Crime            ",6.1,"Docuseries of ""Dirty"" John Meehan, based on the true crime podcast.","
Debra Newell, 
Christopher Goffard, 
Terra Newell, 
Joe Loeffler
","
Sara Mast",1798,88,Not specified
Crack,2021,"
Documentary, Crime, History            ",6.7,"In the early 1980s, the crack epidemic tore through Americas inner cities like a tsunami, ravaging all in its wake.","
Elizabeth Hinton, 
Nelson George, 
Alan Charles, 
Felipe Luciano
","
Stanley Nelson",2795,89,Not specified
The Imperfects,2021,"
Adventure, Drama, Fantasy            ",Not specified,"After an experimental gene therapy turns them into monsters, three twenty-somethings band together to hunt down the scientist responsible and force him to make them human again.","
Morgan Taylor Campbell, 
Iaki Godoy, 
Rhianna Jagpal, 
Italia Ricci
",Not specified,Not specified,Not specified,Not specified
The House,2021,"
Animation, Comedy, Thriller            ",Not specified,A house and the surreal tales of three generations of families who made it their home.,"
Claudie Blakley, 
Stephanie Cole, 
Matthew Goode, 
Mia Goth
",Not specified,Not specified,Not specified,Not specified
Sparta,2018,"
Drama, Thriller            ",6.6,Without the right to make a mistake. Without the right to rematch,"
Marina Kaletskaya, 
Yuliya Marchenko, 
Alexander Petrov, 
Artyom Tkachenko
","
Egor Baranov",173,53,Not specified
Hate Story 3,2015,"
Drama, Thriller            ",4.5,Siya appears to be the bone of contention between warring businessmen Aditya and Saurav. But this one runs deeper than your average love triangle.,"
Sharman Joshi, 
Karan Singh Grover, 
Zareen Khan, 
Daisy Shah
","
Vishal Pandya",3085,126,Not specified
Otto no chinpo ga hairanai,2019,"
Drama, Romance            ",6.5,A couple's relationship is threatened by an unusual problem.,"
Aoi Nakamura, 
Natsumi Ishibashi, 
Tomiyuki Kunihiro, 
Chiba Masako
",Not specified,700,40,Not specified
The Last of Robin Hood,2013,"
Biography, Drama, Romance            ",5.7,The last days in the life of legendary Hollywood actor Errol Flynn.,"
John Hudson Messerall, 
Brian Bascle, 
Daniel J. Clancy, 
Kelly O'Neal
","
Richard Glatzer, 
Wash Westmoreland",2131,94,$0.27M
Iliza Shlesinger,2013,"
Comedy            ",6.7,"Her innocent good looks are just a cover for Last Comic Standing winner Iliza Shlesinger's acerbic, stream-of-conscious comedy that she unleashes on an unsuspecting audience in her hometown of Dallas in her stand-up special ""War Paint.""","
Iliza Shlesinger
","
Jay Chapman",1924,75,Not specified
Hannah Gadsby,2018,"
Documentary, Comedy            ",8.3,"Australian comic Hannah Gadsby reshapes standard stand-up by pairing punchlines with personal revelations on gender, sexuality and childhood turmoil.","
Hannah Gadsby
","
Jon Olb, 
Madeleine Parry",10914,69,Not specified
Son,2012-2013,"
Adventure, Drama, Mystery            ",7.4,"After a plane crash, a devoted wife learns that her life and marriage is all a lie.","
Yigit zsener, 
Nehir Erdogan, 
Engin Altan Dzyatan, 
Erkan Can
",Not specified,789,90,Not specified
Nooni Booshige,2019,"
Comedy, Drama, Fantasy            ",8.1,This story is about a woman who loses all her time before she can use it up and a man who gives up all of his radiant moments and lives a lethargic life.,"
Han Ji-min, 
Hye-ja Kim, 
Nam Joo-Hyuk, 
Ho Joon Son
",Not specified,501,60,Not specified
The Oscars,2020,"
Music            ",6.6,The 92nd Academy Awards for film achievements in 2019 are presented by the Academy of Motion Picture Arts and Sciences.,"
Florence Pugh, 
Scarlett Johansson, 
Margot Robbie, 
Timothe Chalamet
","
Glenn Weiss",1024,170,Not specified
Bill Burr,2019,"
Comedy            ",8.2,"Bill Burr unloads on outrage culture, male feminism, cultural appropriation, robot sex and more in a blistering stand-up special shot in London.","
Bill Burr
","
Mike Binder",9499,67,Not specified
Yoake tsugeru R no uta,2017,"
Animation, Adventure, Comedy            ",6.8,"The story centers on Kai, a gloomy middle school student whose life changes after meeting Lu, a mermaid.","
Kanon Tani, 
Shta Shimoda, 
Minako Kotobuki, 
Sma Sait
","
Masaaki Yuasa",1991,112,$0.11M
The Victims' Game,2020,"
Drama, Thriller            ",7.4,"After discovering his estranged daughter's link to mysterious murders, a forensic detective with Asperger's syndrome risks everything to solve the case.","
Hsiao-chuan Chang, 
Tsai-Hsing Chang, 
Wei-Ning Hsu, 
Shih-Sian Wang
",Not specified,1100,Not specified,Not specified
King Jack,2015,"
Adventure, Drama            ",7,An underprivileged teenager bonds with his young cousin while facing off against a vicious bully.,"
Charlie Plummer, 
Cory Nichols, 
Christian Madsen, 
Danny Flaherty
","
Felix Thompson",3119,81,Not specified
Diecisiete,2019,"
Drama            ",7.2,"To find a shelter dog he befriended, a 17-year-old boy escapes a juvenile detention center and is joined on his quest by his older brother.","
Biel Montoro, 
Nacho Snchez, 
Lola Cordn, 
Itsaso Arana
","
Daniel Snchez Arvalo",3610,99,Not specified
Gli infedeli,2020,"
Comedy            ",4.6,"From campy lies to sexy surprises, this collection of vignettes captures the follies of several men as they fumble with fidelity and relationships.","
Riccardo Scamarcio, 
Valerio Mastandrea, 
Laura Chiatti, 
Valentina Cervi
","
Stefano Mordini",1378,88,Not specified
Fed Up,2014,"
Documentary            ",7.7,An examination of America's obesity epidemic and the food industry's role in aggravating it.,"
Michele Simon, 
Katie Couric, 
Bill Clinton, 
Michael Bloomberg
","
Stephanie Soechtig",11714,92,$1.54M
Untitled Kenya Barris/Jonah Hill Comedy Project,Not specified,"
Comedy            ",Not specified,Plot under wraps.,"
Jonah Hill
",Not specified,Not specified,Not specified,Not specified
Memorias de Idhn,2020-2021,"
Animation, Action, Adventure            ",5.4,"The day the three Suns and three Moons came together in alignment over Idhun, Ashran, the necromancer, seized power and the reign of the winged snakes started.","
Itzan Escamilla, 
Michelle Jenner, 
Sergio Mur, 
Nico Romero
",Not specified,475,25,Not specified
"Te quiero, imbcil",2020,"
Comedy            ",5.8,Marcos' life turns upside down after he loses the same day his girlfriend and his job. Marcos' life turns wild after to meet Raquel.,"
Quim Gutirrez, 
Natalia Tena, 
Alfonso Bassave, 
Ernesto Alterio
","
Laura Ma",2891,87,Not specified
The Barkley Marathons,2014,"
Documentary, Adventure, History            ",7.8,"A famous prison escape sparks the idea for a cult-like race that has seen only 10 finishers in its first 25 years. This award-winning, oddly inspiring, and wildly funny documentary reveals the sports world's most guarded secret.","
Lazarus Lake
","
Annika Iltis, 
Timothy James Kane",4828,89,Not specified
Irmandade,2019,"
Crime, Drama, Thriller            ",7.6,A hard-working lawyer discovers that her missing brother has been jailed for years and is a leader of an ascendant criminal faction.,"
Naruna Costa, 
Danilo Grangheia, 
Hermila Guedes, 
Wesley Guimares
",Not specified,1081,50,Not specified
Maeumui sori,2016,"
Comedy            ",8.3,"Based on the longest-running webtoon ""Maeum-ui Sori"" in Korea, ""Sound of your heart"" is a story about Cho Seok, an aspiring comic writer, and his strange family.","
Kwang-Soo Lee, 
Dae-Myung Kim, 
Jung So-Min, 
Kim Byeong-Ok
",Not specified,875,Not specified,Not specified
Ildan Ddeugeobge Chungsohara,2018-2019,"
Comedy, Romance            ",6.7,"Gil Oh Sol, an employee at a cleaning company, meets Jang Sun Gyeol, the boss of the company. The two are diametric opposite when it comes to cleanliness. With the help of Oh Sol, Sun Gyeol faces his mysophobia and finds love.","
Yoon Kyun-Sang, 
Kim Yoo-jeong, 
Jae-rim Song, 
Seon Yu
",Not specified,939,70,Not specified
Tereddt,2016,"
Drama            ",6.5,"Two Turkish women, one oppressed by sexist traditions and one liberated by modern mores, have more in common than it would seem.","
Funda Eryigit, 
Ecem Uzun, 
Mehmet Kurtulus, 
Okan Yalabik
","
Yesim Ustaoglu",2160,105,Not specified
El cuaderno de Sara,2018,"
Adventure, Drama, Mystery            ",5.9,A Spanish woman travels to darkest heart of Africa looking for her long-time missed younger sister.,"
Beln Rueda, 
Marian lvarez, 
Ivn Mendes, 
Manolo Cardona
","
Norberto Lpez Amado",2554,115,Not specified
